name,gender,age,steps,date,hightemp,watereq,snowfall
Beijing,All,30-39,5532,21/06/2014,82,0.28,0
Beijing,All,40-49,5877,21/06/2014,82,0.28,0
Beijing,All,50-59,10765,21/06/2014,82,0.28,0
Beijing,All,60+,7781,21/06/2014,82,0.28,0
Beijing,All,All,6647,21/06/2014,82,0.28,0
Beijing,M,20-29,8170,22/06/2014,84,0.039999999,0
Beijing,M,30-39,7471,22/06/2014,84,0.039999999,0
Beijing,M,40-49,6594,22/06/2014,84,0.039999999,0
Beijing,M,50-59,9243,22/06/2014,84,0.039999999,0
Beijing,M,All,7675,22/06/2014,84,0.039999999,0
Beijing,F,20-29,5602,22/06/2014,84,0.039999999,0
Beijing,F,30-39,5283,22/06/2014,84,0.039999999,0
Beijing,F,40-49,5657,22/06/2014,84,0.039999999,0
Beijing,F,50-59,10700,22/06/2014,84,0.039999999,0
Beijing,F,60+,6610,22/06/2014,84,0.039999999,0
Beijing,F,All,5677,22/06/2014,84,0.039999999,0
Beijing,All,20-29,7058,22/06/2014,84,0.039999999,0
Beijing,All,30-39,6675,22/06/2014,84,0.039999999,0
Beijing,All,40-49,6251,22/06/2014,84,0.039999999,0
Beijing,All,50-59,9415,22/06/2014,84,0.039999999,0
Beijing,All,60+,6610,22/06/2014,84,0.039999999,0
Beijing,All,All,6942,22/06/2014,84,0.039999999,0
Beijing,M,20-29,8073,23/06/2014,88,0,0
Beijing,M,30-39,6884,23/06/2014,88,0,0
Beijing,M,40-49,6990,23/06/2014,88,0,0
Beijing,M,50-59,9078,23/06/2014,88,0,0
Beijing,M,All,7376,23/06/2014,88,0,0
Beijing,F,20-29,5060,23/06/2014,88,0,0
Beijing,F,30-39,5717,23/06/2014,88,0,0
Beijing,F,40-49,6142,23/06/2014,88,0,0
Beijing,F,50-59,7753,23/06/2014,88,0,0
Beijing,F,60+,7399,23/06/2014,88,0,0
Beijing,F,All,5766,23/06/2014,88,0,0
Beijing,All,20-29,6795,23/06/2014,88,0,0
Beijing,All,30-39,6491,23/06/2014,88,0,0
Beijing,All,40-49,6682,23/06/2014,88,0,0
Beijing,All,50-59,8990,23/06/2014,88,0,0
Beijing,All,60+,7399,23/06/2014,88,0,0
Beijing,All,All,6818,23/06/2014,88,0,0
Beijing,M,20-29,8587,24/06/2014,88,0,0
Beijing,M,30-39,6323,24/06/2014,88,0,0
